Time Elapsed (s),Voltage
1.59,0.012894
1.59,0.012894
1.59,0.0137
1.59,0.016923
1.59,0
1.59,0
1.596,0
1.596,0
1.596,0
1.596,0
1.596,0
1.598,0
1.598,0
1.6,0
1.6,0
1.6,0
1.604,0
1.604,0
1.604,0
1.604,0
1.604,0
1.609,0
1.609,0
1.609,0.025788
1.609,0.029817
1.609,0.029817
1.609,0.033846
1.609,0.036264
1.612,0.037875
1.612,0.03707
1.612,0.038681
1.612,0.038681
1.612,0.038681
1.612,0.038681
1.612,0.038681
1.612,0.038681
1.62,0.037875
1.62,0.03707
1.62,0.036264
1.62,0.031429
1.62,0.030623
1.62,0
1.62,0
1.62,0
1.62,0
1.62,0
1.62,0
1.62,0.000806
1.62,0.007253
1.629,0.012088
1.629,0.014505
1.629,0.020952
1.629,0.027399
1.629,0.031429
1.629,0.03707
1.629,0.040293
1.636,0.044322
1.636,0.051575
1.636,0.053993
1.637,0.020952
1.637,0.014505
1.637,0.012088
1.637,0.004835
1.642,0
1.642,0
1.642,0
1.642,0
1.642,0
1.643,0
1.643,0
1.647,0
1.647,0
1.647,0
1.647,0
1.648,0
1.648,0
1.648,0
1.652,0
1.652,0.024982
1.652,0.024176
1.652,0.029011
1.652,0.031429
1.652,0.036264
1.652,0.038681
1.652,0.038681
1.652,0.038681
1.652,0.042711
1.652,0.042711
1.652,0.04674
1.652,0.044322
1.652,0.047546
1.652,0.04674
1.66,0.049158
1.66,0.049963
1.66,0.049963
1.66,0.051575
1.66,0
1.66,0
1.66,0
1.669,0
1.669,0
1.669,0
1.669,0
1.669,0
1.669,0
1.669,0
1.675,0
1.675,0
1.675,0
1.675,0
1.675,0
1.675,0
1.675,0
1.677,0
1.677,0.03707
1.677,0.033846
1.677,0.031429
1.677,0.027399
1.677,0.02337
1.677,0.016117
1.685,0.0137
1.685,0.010476
1.685,0.005641
1.685,0.000806
1.685,0
1.685,0
1.687,0
1.687,0
1.687,0
1.687,0
1.687,0
1.687,0
1.687,0
1.687,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0
1.693,0.000806
1.693,0.004029
1.703,0.008864
1.703,0.012894
1.703,0.017729
1.703,0.018535
1.703,0.022564
1.703,0.024176
1.703,0
1.703,0
1.703,0
1.703,0
1.703,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.711,0
1.72,0
1.72,0
1.72,0
1.72,0.167619
1.721,0.172454
1.721,0.180513
1.721,0.186154
1.721,0.191795
1.721,0.195824
1.721,0.199048
1.721,0.204689
1.73,0.207912
1.73,0.213553
1.73,0.214359
1.73,0.217582
1.73,0.219194
1.73,0.22
1.73,0.22
1.734,0.22
1.734,0.219194
1.734,0.219194
1.734,0
1.736,0
1.736,0
1.736,0
1.741,0
1.741,0
1.742,0
1.742,0
1.742,0
1.742,0
1.742,0
1.745,0
1.745,0
1.745,0
1.745,0
1.745,0
1.745,0
1.745,0
1.752,0
1.752,0.114432
1.753,0.105568
1.753,0.100733
1.753,0.092674
1.753,0.087839
1.753,0.081392
1.753,0.071722
1.757,0.064469
1.757,0.06044
1.757,0.051575
1.757,0.044322
1.757,0.03707
1.759,0.029817
1.759,0.020952
1.763,0.012894
1.763,0.007253
1.764,0
1.764,0
1.764,0
1.764,0
1.764,0
1.769,0
1.769,0
1.769,0
1.769,0
1.769,0
1.769,0
1.77,0
1.774,0
1.774,0
1.774,0
1.774,0
1.774,0.001612
1.774,0.000806
1.774,0.004029
1.78,0.007253
1.78,0
1.78,0
1.78,0
1.78,0
1.781,0
1.781,0
1.785,0
1.785,0
1.785,0
1.785,0
1.785,0
1.785,0
1.785,0
1.791,0
1.791,0
1.791,0
1.791,0
1.791,0
1.791,0.03304
1.792,0.030623
1.793,0.028205
1.793,0.027399
1.793,0.026593
1.793,0.024982
1.793,0.021758
1.793,0.018535
1.793,0.015311
1.801,0.016117
1.801,0.012894
1.801,0.00967
1.801,0.004835
1.803,0.002418
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.803,0
1.809,0
1.809,0
1.809,0
1.809,0
1.809,0
1.809,0
1.809,0
1.817,0
1.817,0
1.817,0
1.817,0
1.817,0
1.817,0
1.817,0.158755
1.824,0.164396
1.824,0.166813
1.824,0.166813
1.824,0.167619
1.824,0.167619
1.824,0.168425
1.824,0.169231
1.826,0.169231
1.826,0.170037
1.826,0.168425
1.826,0.169231
