Time (s),Frequency (Hz),Intensity (dB)
0.06918918918918919,383.0078125,-313.0712
0.06918918918918919,390.234375,-313.0712
0.06918918918918919,397.4609375,-313.0712
0.06918918918918919,404.6875,-313.0712
0.06918918918918919,411.9140625,-313.0712
0.06918918918918919,419.140625,-313.0712
0.06918918918918919,426.3671875,-313.0712
0.06918918918918919,433.59375,-313.0712
0.06918918918918919,440.8203125,-313.0712
0.06918918918918919,448.046875,-313.0712
0.06918918918918919,455.2734375,-313.0712
0.06918918918918919,462.5,-313.0712
0.06918918918918919,469.7265625,-313.0712
0.06918918918918919,476.953125,-313.0712
0.06918918918918919,484.1796875,-313.0712
0.06918918918918919,491.40625,-313.0712
0.06918918918918919,498.6328125,-313.0712
0.06918918918918919,505.859375,-313.0712
0.06918918918918919,513.0859375,-313.0712
0.06918918918918919,520.3125,-313.0712
0.06918918918918919,527.5390625,-313.0712
0.06918918918918919,534.765625,-313.0712
0.06918918918918919,541.9921875,-313.0712
0.06918918918918919,549.21875,-313.0712
0.06918918918918919,556.4453125,-313.0712
0.06918918918918919,563.671875,-313.0712
0.06918918918918919,570.8984375,-313.0712
0.06918918918918919,578.125,-313.0712
0.06918918918918919,585.3515625,-313.0712
0.06918918918918919,592.578125,-313.0712
0.06918918918918919,599.8046875,-313.0712
0.06918918918918919,607.03125,-313.0712
0.06918918918918919,614.2578125,-313.0712
0.06918918918918919,621.484375,-313.0712
0.06918918918918919,628.7109375,-313.0712
0.06918918918918919,635.9375,-313.0712
0.06918918918918919,643.1640625,-313.0712
0.06918918918918919,650.390625,-313.0712
0.06918918918918919,657.6171875,-313.0712
0.06918918918918919,664.84375,-313.0712
0.06918918918918919,672.0703125,-313.0712
0.06918918918918919,679.296875,-313.0712
0.06918918918918919,686.5234375,-313.0712
0.06918918918918919,693.75,-313.0712
0.06918918918918919,700.9765625,-313.0712
0.06918918918918919,708.203125,-313.0712
0.06918918918918919,715.4296875,-313.0712
0.06918918918918919,722.65625,-313.0712
0.06918918918918919,729.8828125,-313.0712
0.06918918918918919,737.109375,-313.0712
0.06918918918918919,744.3359375,-313.0712
0.06918918918918919,751.5625,-313.0712
0.06918918918918919,758.7890625,-313.0712
0.06918918918918919,766.015625,-313.0712
0.06918918918918919,773.2421875,-313.0712
0.06918918918918919,780.46875,-313.0712
0.06918918918918919,787.6953125,-313.0712
0.06918918918918919,794.921875,-313.0712
0.06918918918918919,802.1484375,-313.0712
0.06918918918918919,809.375,-313.0712
0.06918918918918919,816.6015625,-313.0712
0.06918918918918919,823.828125,-313.0712
0.06918918918918919,831.0546875,-313.0712
0.06918918918918919,838.28125,-313.0712
